,year,gross,genre
808,2015,3.48,Comedy
809,1995,173.84,Adventure
810,2006,0.33,Crime
811,2007,53.61,Action
812,1997,12.34,Drama
813,1997,41.91,Biography
814,2019,434.04,Animation
815,2012,136.03,Biography
816,1988,156.45,Animation
817,2012,189.42,Animation
818,1960,4.91,Action
819,2002,104.45,Crime
820,2004,54.58,Crime
821,2019,,Drama
822,2014,124.87,Drama
823,2014,35.89,Biography
824,1995,43.18,Drama
825,1987,22.24,Drama
826,1986,7.15,Drama
827,1998,2.81,Comedy
828,1991,82.42,Drama
829,1971,35.9,Action
830,1982,54.0,Drama
831,1993,1.77,Comedy
832,2020,,Drama
833,1992,10.73,Crime
834,2006,0.88,Animation
835,1982,78.91,Action
836,2008,9.03,Drama
837,1973,29.8,Biography
838,2011,0.07,Drama
839,1999,22.86,Comedy
840,1994,3.15,Comedy
841,1988,,Mystery
842,1985,98.47,Drama
843,2004,176.24,Action
844,2002,22.25,Comedy
845,2013,5.21,Animation
846,2006,22.49,Crime
847,2004,17.11,Action
848,2004,75.33,Biography
849,1987,5.92,Comedy
850,1967,0.03,Drama
851,2018,,Drama
852,1964,51.08,Action
853,1967,45.3,Action
854,2013,2.85,Drama
855,2010,1.75,Comedy
856,1962,39.1,Action
857,1973,,Action
858,1980,54.8,Drama
859,1987,43.98,Biography
860,1967,,Action
861,2000,22.0,Drama
862,1992,48.17,Biography
863,1999,52.04,Animation
864,1990,5.08,Crime
865,1973,0.19,Animation
866,2004,51.68,Biography
867,2009,0.55,Crime
868,1952,10.55,Comedy
869,2006,4.4,Drama
870,2015,0.08,Drama
871,1940,76.41,Animation
872,2015,6.74,Comedy
873,1992,,Animation
874,1993,6.11,Comedy
875,1960,0.34,Crime
876,2016,48.02,Animation
877,1996,4.41,Drama
878,2010,0.01,Action
879,1998,7.27,Action
880,2013,17.65,Drama
881,1991,2.02,Comedy
882,1990,1.96,Drama
883,1997,0.37,Drama
884,1964,,Drama
885,1951,0.54,Adventure
886,1956,,Drama
887,2008,18.59,Biography
888,2016,,Comedy
889,1992,,Action
890,1954,21.75,Drama
891,2012,0.18,Drama
892,2001,2.89,Animation
893,1986,1.44,Comedy
894,1991,2.0,Drama
895,1948,,Action
896,2003,4.06,Comedy
897,1967,17.55,Thriller
898,1966,28.35,Biography
899,2014,0.77,Animation
900,1938,,Mystery
901,2003,0.02,Drama
902,2015,1.34,Animation
903,2001,3.03,Comedy
904,1947,,Drama
905,1997,0.19,Drama
906,1932,,Action
907,2004,16.78,Adventure
908,2002,4.89,Drama
909,1962,,Drama
910,2000,,Action
911,2010,,Drama
912,2016,2.4,Drama
913,1997,0.31,Drama
914,2005,0.0,Comedy
915,2001,0.14,Drama
916,2003,7.0,Animation
917,2006,0.41,Drama
918,1955,,Drama
919,1985,10.63,Comedy
920,1997,0.23,Crime
921,2006,,Animation
922,2002,15.54,Drama
923,1962,,Drama
924,1983,11.8,Comedy
925,1992,27.28,Comedy
926,2013,1.33,Drama
927,1975,,Comedy
928,2017,0.31,Animation
929,2007,0.74,Drama
930,2019,142.5,Comedy
931,2001,317.58,Adventure
932,2017,389.81,Action
933,2004,56.0,Horror
934,2000,15.07,Crime
935,2007,121.46,Comedy
936,2009,107.51,Action
937,2018,324.59,Action
938,1997,63.54,Action
939,2011,75.61,Biography
940,2006,210.61,Action
941,1999,10.82,Comedy
942,2018,215.29,Drama
943,1992,52.93,Comedy
944,2014,208.55,Action
945,2014,3.33,Comedy
946,2010,251.51,Animation
947,2010,48.07,Action
948,1987,53.42,Action
949,1973,25.0,Action
950,2004,57.94,Drama
951,2009,255.96,Biography
952,2007,17.11,Crime
953,2007,38.63,Adventure
954,2008,215.43,Animation
955,2001,96.52,Horror
956,2005,380.26,Action
957,2002,132.07,Action
958,2016,27.01,Crime
959,1998,36.4,Drama
960,2010,171.24,Drama
961,2004,1.08,Drama
962,1986,40.46,Drama
963,1985,10.6,Comedy
964,2001,52.36,Comedy
965,2021,,Animation
966,1937,184.93,Animation
967,2007,20.3,Crime
968,1987,65.21,Action
969,1998,120.62,Animation
970,1981,12.47,Action
971,2011,3.19,Drama
972,2018,26.02,Drama
973,2005,23.09,Drama
974,2012,41.0,Action
975,2011,4.11,Action
976,1963,11.4,Drama
977,1967,141.84,Animation
978,1998,17.11,Comedy
979,2008,15.09,Animation
980,1995,100.01,Action
981,2019,,Biography
982,1955,,Drama
983,2011,35.01,Comedy
984,1953,30.5,Drama
985,2001,40.31,Drama
986,2006,17.61,Biography
987,1995,71.52,Drama
988,2006,31.57,Action
989,1954,,Comedy
990,2003,16.29,Crime
991,1974,2.49,Action
992,1991,6.15,Comedy
993,2002,13.06,Drama
994,2007,0.87,Biography
995,2004,6.17,Drama
996,1996,35.81,Biography
997,2013,37.71,Biography
998,1933,,Horror
999,2009,,Action
1000,1994,28.34,
1001,1972,134.97,Drama
1002,2008,534.86,Crime
1003,1993,96.9,Drama
1004,1957,4.36,Drama
1005,1974,57.3,Drama
1006,2003,377.85,Adventure
1007,1994,107.93,Drama
1008,2023,,Action
1009,2010,292.58,Adventure
1010,2001,315.54,Adventure
1011,1999,37.03,
1012,1994,330.25,Romance
1013,1966,6.1,Western
1014,2002,342.55,Adventure
1015,2021,,Drama
1016,2022,,Comedy
1017,2014,188.02,Drama
1018,1990,46.84,Crime
1019,1999,171.48,Sci-Fi
1020,1975,112.0,
1021,1980,290.48,Adventure
1022,2022,,Drama
1023,2020,,Drama
1024,2023,,Drama
1025,1991,130.74,Drama
1026,1995,100.13,Drama
1027,1998,216.54,War
1028,1991,204.84,Sci-Fi
1029,1999,136.8,Drama
1030,1977,322.74,Adventure
1031,2002,7.56,Drama
1032,2001,10.06,Adventure
1033,1997,57.6,Drama
1034,1946,,Family
1035,1954,0.27,Drama
1036,1962,,Drama
1037,2022,,Drama
1038,2006,53.09,Mystery
1039,1985,210.61,Comedy
1040,2006,132.38,Drama
1041,1979,78.9,Sci-Fi
1042,2019,53.37,Thriller
1043,2000,187.71,Adventure
1044,2014,13.09,Music
1045,1994,19.5,Crime
1046,2002,32.57,Drama
1047,1995,23.34,Drama
1048,1994,422.78,Adventure
1049,1998,6.72,Drama
1050,1960,32.0,Mystery
1051,1988,,Drama
1052,2011,13.18,Comedy
1053,1942,1.02,Romance
1054,1968,5.32,
1055,1954,36.76,Thriller
1056,1988,11.99,Romance
1057,1936,0.16,Drama
1058,1931,0.02,Drama
1059,2018,,Romance
1060,2018,190.24,Action
1061,2012,448.14,Drama
1062,2000,25.54,Thriller
1063,2019,335.45,Drama
1064,2019,858.37,Adventure
1065,2012,162.81,Western
1066,1981,248.16,Adventure
1067,2003,0.71,Drama
1068,1980,44.02,Horror
1069,1986,85.16,Adventure
1070,1979,83.47,Mystery
1071,2018,678.82,Adventure
1072,1984,51.97,Drama
1073,1985,,Thriller
1074,2016,5.02,Drama
1075,2017,209.73,Adventure
1076,1964,0.28,War
1077,2008,223.81,Adventure
1078,2006,11.29,Mystery
1079,2009,6.53,Drama
1080,2018,1.66,
1081,1981,11.49,War
1082,1950,,Film-Noir
1083,1957,,War
1084,1957,8.18,Drama
1085,1940,0.29,Drama
1086,1963,,Drama
1087,2021,,Crime
1088,2019,,Adventure
1089,2019,,Drama
1090,2021,,Drama
1091,2022,718.73,Drama
1092,2009,120.54,Drama
1093,1995,67.44,Crime
1094,1999,130.1,
1095,1997,138.43,Romance
1096,2000,3.64,
1097,1983,45.6,Drama
1098,1968,56.95,Sci-Fi
1099,1984,5.32,Drama
1100,1995,75.6,Drama
1101,1971,6.21,Sci-Fi
1102,2004,34.4,Romance
1103,1992,2.83,Thriller
1104,1987,46.36,War
1105,2012,0.69,
1106,1997,2.38,Action
1107,2010,6.86,Mystery
1108,1952,8.82,Musical
